FrameId,Event,Type,OId,HId,D
290,14,SWITCH,1.0,301.0,0.09103494435746706
319,13,SWITCH,1.0,288.0,0.06852998440245706
320,13,SWITCH,1.0,301.0,0.07178367117970498
331,13,SWITCH,1.0,288.0,0.08656934719503095
334,13,SWITCH,1.0,301.0,0.1030577408036908
335,13,SWITCH,1.0,288.0,0.08682211765332826
336,13,SWITCH,1.0,301.0,0.10777802082270904
339,12,SWITCH,1.0,288.0,0.048085333110459705
340,12,SWITCH,1.0,301.0,0.07952748688967815
353,12,SWITCH,1.0,288.0,0.031026190008659582
354,12,SWITCH,1.0,301.0,0.04020916288127452
356,12,SWITCH,1.0,288.0,0.038446813736896734
357,12,SWITCH,1.0,301.0,0.09981828304840012
359,12,SWITCH,1.0,288.0,0.08478695792537405
360,13,SWITCH,1.0,301.0,0.09634484203021244
363,13,SWITCH,1.0,288.0,0.12942779557105066
365,13,SWITCH,1.0,301.0,0.053745226035295864
366,13,SWITCH,1.0,288.0,0.05395403294311018
367,13,SWITCH,1.0,301.0,0.07365592890083428
370,13,SWITCH,1.0,288.0,0.07120581331721576
371,13,SWITCH,1.0,301.0,0.12018938818028713
373,13,SWITCH,1.0,288.0,0.10458245479339368
374,13,SWITCH,1.0,301.0,0.04364069582449548
378,13,SWITCH,1.0,288.0,0.044755989442777366
380,14,SWITCH,1.0,301.0,0.06401997574458629
381,14,SWITCH,1.0,288.0,0.08164436243616724
383,12,SWITCH,1.0,301.0,0.15849490280862044
386,12,SWITCH,1.0,288.0,0.0746748309586619
387,12,SWITCH,1.0,301.0,0.13365050866211092
402,10,SWITCH,1.0,288.0,0.17391752174420896
403,10,SWITCH,1.0,301.0,0.13927592305333836
405,10,SWITCH,1.0,288.0,0.04539521680801928
407,10,SWITCH,1.0,301.0,0.017471991211114868
415,10,SWITCH,1.0,288.0,0.14463749564310602
416,10,SWITCH,1.0,301.0,0.037569526204269454
437,11,SWITCH,1.0,288.0,0.09752064878542588
438,11,SWITCH,1.0,301.0,0.12411436837284415
442,12,SWITCH,1.0,288.0,0.1187657881121219
443,12,SWITCH,1.0,301.0,0.1941890458089902
449,12,SWITCH,1.0,288.0,0.09200555147003796
450,12,SWITCH,1.0,301.0,0.2954518442277634
456,12,SWITCH,1.0,288.0,0.13787584940509226
457,12,SWITCH,1.0,301.0,0.2013433644738768
467,13,SWITCH,1.0,288.0,0.174435444818694
469,12,SWITCH,1.0,301.0,0.1484421972635852
481,12,SWITCH,1.0,288.0,0.14838517727334846
482,12,SWITCH,1.0,301.0,0.0786056074885475
485,12,SWITCH,1.0,288.0,0.16130016601745367
486,12,SWITCH,1.0,301.0,0.1689412809770383
488,12,SWITCH,1.0,288.0,0.15571282623949734
