FrameId,Event,Type,OId,HId,D
289,14,MATCH,1.0,288.0,0.07566314244323225
290,14,SWITCH,1.0,301.0,0.09103494435746706
291,13,MATCH,1.0,301.0,0.06919793136537478
292,13,MATCH,1.0,301.0,0.08158217622524122
293,13,MATCH,1.0,301.0,0.10528370667226972
294,13,MATCH,1.0,301.0,0.06075690192156091
295,13,MATCH,1.0,301.0,0.05504833803904963
296,13,MATCH,1.0,301.0,0.07588918161512259
297,13,MATCH,1.0,301.0,0.07948418421654757
298,13,MATCH,1.0,301.0,0.06736476133836189
299,13,MATCH,1.0,301.0,0.045662612231934685
300,13,MATCH,1.0,301.0,0.0914298361779532
301,13,MATCH,1.0,301.0,0.08026828916415785
302,13,MATCH,1.0,301.0,0.06755246424193606
303,13,MATCH,1.0,301.0,0.09883941989885958
304,13,MATCH,1.0,301.0,0.09161285462927238
305,13,MATCH,1.0,301.0,0.07780639489746866
306,13,MATCH,1.0,301.0,0.08756108157187714
307,13,MATCH,1.0,301.0,0.08019715634237579
308,13,MATCH,1.0,301.0,0.06737609148488433
309,13,MATCH,1.0,301.0,0.0742535157184746
310,13,MATCH,1.0,301.0,0.08251177972732404
311,13,MATCH,1.0,301.0,0.035720594742049694
312,13,MATCH,1.0,301.0,0.03725099167506929
313,13,MATCH,1.0,301.0,0.04727754320956257
314,13,MATCH,1.0,301.0,0.06257730309298581
315,13,MATCH,1.0,301.0,0.055526867165284655
316,13,MATCH,1.0,301.0,0.03901089776695077
317,13,MATCH,1.0,301.0,0.04102407178072964
318,13,MATCH,1.0,301.0,0.08089633544786634
319,13,SWITCH,1.0,288.0,0.06852998440245706
320,13,SWITCH,1.0,301.0,0.07178367117970497
321,13,MATCH,1.0,301.0,0.05285156107565947
322,13,MATCH,1.0,301.0,0.046531147731108
323,13,MATCH,1.0,301.0,0.06509802234173867
324,13,MATCH,1.0,301.0,0.04543344940215199
325,13,MATCH,1.0,301.0,0.025636136035166235
326,13,MATCH,1.0,301.0,0.0542791839964869
327,13,MATCH,1.0,301.0,0.04995998859176953
328,13,MATCH,1.0,301.0,0.04945916749296786
329,13,MATCH,1.0,301.0,0.0746745339843291
330,13,MATCH,1.0,301.0,0.06334615569473523
331,13,SWITCH,1.0,288.0,0.08656934719503095
332,13,MATCH,1.0,288.0,0.058248296723435566
333,13,MATCH,1.0,288.0,0.07049735136675095
334,13,SWITCH,1.0,301.0,0.10305774080369079
335,13,SWITCH,1.0,288.0,0.08682211765332826
336,13,SWITCH,1.0,301.0,0.10777802082270904
337,12,MATCH,1.0,301.0,0.12897911326540112
338,12,MATCH,1.0,301.0,0.10898931463218098
339,12,SWITCH,1.0,288.0,0.048085333110459705
340,12,SWITCH,1.0,301.0,0.07952748688967815
341,12,MATCH,1.0,301.0,0.029036624691950008
342,12,MATCH,1.0,301.0,0.040014732711579404
343,12,MATCH,1.0,301.0,0.08606555965828322
344,12,MATCH,1.0,301.0,0.08246934952408769
345,12,MATCH,1.0,301.0,0.1038401087868206
346,12,MATCH,1.0,301.0,0.16766803947422315
347,12,MATCH,1.0,301.0,0.15036139552011474
348,12,MATCH,1.0,301.0,0.10118927569579272
349,12,MATCH,1.0,301.0,0.04439260764397557
350,12,MATCH,1.0,301.0,0.025345767616960835
351,12,MATCH,1.0,301.0,0.040474919010969224
352,12,MATCH,1.0,301.0,0.042629793676357775
353,12,SWITCH,1.0,288.0,0.031026190008659582
354,12,SWITCH,1.0,301.0,0.04020916288127452
355,12,MATCH,1.0,301.0,0.05676845529311336
356,12,SWITCH,1.0,288.0,0.038446813736896734
357,12,SWITCH,1.0,301.0,0.09981828304840012
358,12,MATCH,1.0,301.0,0.09939173972128335
359,12,SWITCH,1.0,288.0,0.08478695792537405
360,13,SWITCH,1.0,301.0,0.09634484203021243
361,13,MATCH,1.0,301.0,0.09676192596002275
362,13,MATCH,1.0,301.0,0.20570117317424486
363,13,SWITCH,1.0,288.0,0.12942779557105066
364,13,MATCH,1.0,288.0,0.06795348477153618
365,13,SWITCH,1.0,301.0,0.05374522603529586
366,13,SWITCH,1.0,288.0,0.053954032943110186
367,13,SWITCH,1.0,301.0,0.07365592890083428
368,13,MATCH,1.0,301.0,0.11381301824259638
369,13,MATCH,1.0,301.0,0.10531075909801935
370,13,SWITCH,1.0,288.0,0.07120581331721576
371,13,SWITCH,1.0,301.0,0.12018938818028713
372,13,MATCH,1.0,301.0,0.12128167996903405
373,13,SWITCH,1.0,288.0,0.10458245479339368
374,13,SWITCH,1.0,301.0,0.04364069582449548
375,13,MATCH,1.0,301.0,0.03367170689125387
376,13,MATCH,1.0,301.0,0.03520308202627742
377,13,MATCH,1.0,301.0,0.09454873048416512
378,13,SWITCH,1.0,288.0,0.044755989442777366
379,13,MATCH,1.0,288.0,0.06645352303368779
380,14,SWITCH,1.0,301.0,0.06401997574458629
381,14,SWITCH,1.0,288.0,0.08164436243616724
382,12,MATCH,1.0,288.0,0.07969491095258152
383,12,SWITCH,1.0,301.0,0.15849490280862044
384,12,MATCH,1.0,301.0,0.08109523738564806
385,12,MATCH,1.0,301.0,0.16906549349172972
386,12,SWITCH,1.0,288.0,0.0746748309586619
387,12,SWITCH,1.0,301.0,0.13365050866211092
388,12,MATCH,1.0,301.0,0.17807560521154242
389,12,MATCH,1.0,301.0,0.15636187873775798
390,12,MATCH,1.0,301.0,0.13540848558361773
391,12,MATCH,1.0,301.0,0.11390055992281967
392,11,MATCH,1.0,301.0,0.15117694692963657
393,11,MATCH,1.0,301.0,0.11212517313514003
394,11,MATCH,1.0,301.0,0.1493842381231245
395,11,MATCH,1.0,301.0,0.0877723152707387
396,11,MATCH,1.0,301.0,0.11710312352034746
397,11,MATCH,1.0,301.0,0.07790346294463468
398,10,MATCH,1.0,301.0,0.06622559807831485
399,10,MATCH,1.0,301.0,0.06087018308650671
400,10,MATCH,1.0,301.0,0.04924205080001132
401,10,MATCH,1.0,301.0,0.10587539152843017
402,10,SWITCH,1.0,288.0,0.17391752174420894
403,10,SWITCH,1.0,301.0,0.13927592305333836
404,10,MATCH,1.0,301.0,0.07659685240388547
405,10,SWITCH,1.0,288.0,0.04539521680801928
406,10,MATCH,1.0,288.0,0.07475523837492681
407,10,SWITCH,1.0,301.0,0.017471991211114868
408,10,MATCH,1.0,301.0,0.029867696671621813
409,10,MATCH,1.0,301.0,0.07396120333959022
410,10,MATCH,1.0,301.0,0.057928187474781456
411,10,MATCH,1.0,301.0,0.08582601514556076
412,10,MATCH,1.0,301.0,0.033188301445813084
413,10,MATCH,1.0,301.0,0.049678052607568524
414,10,MATCH,1.0,301.0,0.04115720560918967
415,10,SWITCH,1.0,288.0,0.14463749564310602
416,10,SWITCH,1.0,301.0,0.037569526204269454
417,10,MATCH,1.0,301.0,0.027487791438787768
418,10,MATCH,1.0,301.0,0.05938291371736193
419,10,MATCH,1.0,301.0,0.06971732111440643
420,10,MATCH,1.0,301.0,0.0470759729923238
421,10,MATCH,1.0,301.0,0.060601439926711964
422,10,MATCH,1.0,301.0,0.05928397468309887
423,10,MATCH,1.0,301.0,0.08273549837787142
424,11,MATCH,1.0,301.0,0.07524946565618706
425,11,MATCH,1.0,301.0,0.060762116494313956
426,11,MATCH,1.0,301.0,0.0698097668126727
427,11,MATCH,1.0,301.0,0.04213933588439123
428,10,MATCH,1.0,301.0,0.07403078032538668
429,10,MATCH,1.0,301.0,0.06533325258009115
430,10,MATCH,1.0,301.0,0.0664663127811509
431,10,MATCH,1.0,301.0,0.03791627305407408
432,10,MATCH,1.0,301.0,0.06749854106590558
433,10,MATCH,1.0,301.0,0.07585423032276217
434,10,MATCH,1.0,301.0,0.08157847705354138
435,10,MATCH,1.0,301.0,0.09027409287710708
436,10,MATCH,1.0,301.0,0.11535191017247481
437,11,SWITCH,1.0,288.0,0.09752064878542588
438,11,SWITCH,1.0,301.0,0.12411436837284417
439,12,MATCH,1.0,301.0,0.07565964522403734
440,12,MATCH,1.0,301.0,0.07856653324243157
441,12,MATCH,1.0,301.0,0.12032500062734097
442,12,SWITCH,1.0,288.0,0.1187657881121219
443,12,SWITCH,1.0,301.0,0.1941890458089902
444,11,MATCH,1.0,301.0,0.1462116771340064
445,11,MATCH,1.0,301.0,0.1207929409188403
446,12,MATCH,1.0,301.0,0.13773376611460986
447,12,MATCH,1.0,301.0,0.18651730010231526
448,12,MATCH,1.0,301.0,0.26000777632479877
449,12,SWITCH,1.0,288.0,0.09200555147003797
450,12,SWITCH,1.0,301.0,0.2954518442277634
451,12,MATCH,1.0,301.0,0.1684774072773486
452,12,MATCH,1.0,301.0,0.11740133144252263
453,12,MATCH,1.0,301.0,0.13625414521663326
454,12,MATCH,1.0,301.0,0.10943757752785599
455,12,MATCH,1.0,301.0,0.28043197219906135
456,12,SWITCH,1.0,288.0,0.13787584940509223
457,12,SWITCH,1.0,301.0,0.2013433644738768
458,12,MATCH,1.0,301.0,0.1857644747977577
459,12,MATCH,1.0,301.0,0.1508469246690345
460,12,MATCH,1.0,301.0,0.13075905731780924
461,12,MATCH,1.0,301.0,0.13284209490376742
462,12,MATCH,1.0,301.0,0.16081025915214864
463,12,MATCH,1.0,301.0,0.16847037269073017
464,12,MATCH,1.0,301.0,0.14581392414656524
465,12,MATCH,1.0,301.0,0.15239905977650003
466,13,MATCH,1.0,301.0,0.14731063795091348
467,13,SWITCH,1.0,288.0,0.174435444818694
468,13,MATCH,1.0,288.0,0.1848514270055457
